date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:20	27582/27582	---M-Z	200	added ('OK')	text/html	etag:%226bbe-64dbc5707704a-gzip%22	https://ccds.fzu.edu.cn/rcpy/jwgs.htm	F:/text/ccds.fzu.edu.cn/rcpy/jwgs.html	(from )
02:36:20	1693/1693	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Mar%202026%2002:26:44%20GMT	https://ccds.fzu.edu.cn/robots.txt		(from )
02:36:20	23928/23928	---M-Z	200	added ('OK')	text/css	etag:%225d78-5ceec8c4ccb40-gzip%22	https://ccds.fzu.edu.cn/assets/css/style.css	F:/text/ccds.fzu.edu.cn/assets/css/style.css	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:20	89414/89414	---M-Z	200	added ('OK')	application/javascript	etag:%2215d46-5cdcd925b4cc0-gzip%22	https://ccds.fzu.edu.cn/assets/js/jquery-latest.min.js	F:/text/ccds.fzu.edu.cn/assets/js/jquery-latest.min.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:20	7048/7048	---M-Z	200	added ('OK')	application/javascript	etag:%221b88-5cdcd925b4cc0-gzip%22	https://ccds.fzu.edu.cn/assets/js/ScrollPic.js	F:/text/ccds.fzu.edu.cn/assets/js/ScrollPic.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:21	1292/1292	---M-Z	200	added ('OK')	application/javascript	etag:%2250c-5cdcd925b4cc0-gzip%22	https://ccds.fzu.edu.cn/assets/js/bdtxk.hoverIntent.minified.js	F:/text/ccds.fzu.edu.cn/assets/js/bdtxk.hoverIntent.minified.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:21	932/932	---M-Z	200	added ('OK')	application/javascript	etag:%223a4-5cdcd925b4cc0-gzip%22	https://ccds.fzu.edu.cn/assets/js/link.js	F:/text/ccds.fzu.edu.cn/assets/js/link.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:22	20/20	---M--	200	added ('OK')	text/css	etag:%2214-647f2839747cf-gzip%22	https://ccds.fzu.edu.cn/_sitegray/_sitegray_d.css	F:/text/ccds.fzu.edu.cn/_sitegray/_sitegray_d.css	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:22	95/95	---M-Z	200	added ('OK')	application/javascript	etag:%225f-647f28397670f-gzip%22	https://ccds.fzu.edu.cn/_sitegray/_sitegray.js	F:/text/ccds.fzu.edu.cn/_sitegray/_sitegray.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:22	145/145	---M-Z	200	added ('OK')	text/css	etag:%2291-647f2b00eeabf-gzip%22	https://ccds.fzu.edu.cn/list.vsb.css	F:/text/ccds.fzu.edu.cn/list.vsb.css	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:23	3347/3347	---M-Z	200	added ('OK')	application/javascript	etag:%22d13-525cd18506a80-gzip%22	https://ccds.fzu.edu.cn/system/resource/js/vsbscreen.min.js	F:/text/ccds.fzu.edu.cn/system/resource/js/vsbscreen.min.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:23	1329/1329	---M-Z	200	added ('OK')	application/javascript	etag:%22531-4f96e011959c0-gzip%22	https://ccds.fzu.edu.cn/system/resource/js/counter.js	F:/text/ccds.fzu.edu.cn/system/resource/js/counter.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:23	19972/19972	---M--	200	added ('OK')	image/png	etag:%224e04-647f27abb0ac0-gzip%22	https://ccds.fzu.edu.cn/images/logonew20260109.png	F:/text/ccds.fzu.edu.cn/images/logonew20260109.png	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:23	16507/16507	---M--	200	added ('OK')	image/png	etag:%22407b-5cdcd925b4cc0-gzip%22	https://ccds.fzu.edu.cn/assets/images/anniu.png	F:/text/ccds.fzu.edu.cn/assets/images/anniu.png	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:24	4749/4749	---M-Z	200	added ('OK')	application/javascript	etag:%22128d-52685e7433300-gzip%22	https://ccds.fzu.edu.cn/system/resource/js/base64.js	F:/text/ccds.fzu.edu.cn/system/resource/js/base64.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:24	1356/1356	---M-Z	200	added ('OK')	application/javascript	etag:%2254c-503c9d72e5140-gzip%22	https://ccds.fzu.edu.cn/system/resource/js/formfunc.js	F:/text/ccds.fzu.edu.cn/system/resource/js/formfunc.js	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:25	21840/21840	---M-Z	200	added ('OK')	text/html	etag:%225550-64c5379ca3b3b-gzip%22	https://ccds.fzu.edu.cn/rcpy/bxln.htm	F:/text/ccds.fzu.edu.cn/rcpy/bxln.html	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
02:36:25	25011/25011	---M-Z	200	added ('OK')	text/html	etag:%2261b3-64dbc5eca3592-gzip%22	https://ccds.fzu.edu.cn/rcpy/jwtz.htm	F:/text/ccds.fzu.edu.cn/rcpy/jwtz.html	(from https://ccds.fzu.edu.cn/rcpy/jwgs.htm)
